id,name,gender,type,category_id,category_name
sr:competition:2777,"ATP Stuttgart, Germany Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2781,"ATP Rome, Italy Men Singles",men,singles,sr:category:3,ATP
sr:competition:2783,"ATP Rome, Italy Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2787,"ATP Madrid, Spain Men Singles",men,singles,sr:category:3,ATP
sr:competition:2789,"ATP Madrid, Spain Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2793,"Berlin, Germany Women Singles",women,singles,sr:category:6,WTA
sr:competition:2795,"Berlin, Germany Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2805,"WTA Hobart, Australia Women Singles",women,singles,sr:category:6,WTA
sr:competition:2807,"WTA Hobart, Australia Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2817,"WTA Marrakech, Morocco Women Singles",women,singles,sr:category:6,WTA
sr:competition:2819,"WTA Marrakech, Morocco Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2823,"WTA Strasbourg, France Women Singles",women,singles,sr:category:6,WTA
sr:competition:2825,"WTA Strasbourg, France Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2829,"ATP Challenger Amersfoort, Netherlands Men Singles",men,singles,sr:category:72,Challenger
sr:competition:2831,"ATP Challenger Amersfoort, Netherlands Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:2835,"ATP Munich, Germany Men Singles",men,singles,sr:category:3,ATP
sr:competition:2837,"ATP Munich, Germany Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2853,"WTA Birmingham, Great Britain Women Singles",women,singles,sr:category:6,WTA
sr:competition:2855,"WTA Birmingham, Great Britain Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2859,"ATP Halle, Germany Men Singles",men,singles,sr:category:3,ATP
sr:competition:2861,"ATP Halle, Germany Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2865,"ATP London, Great Britain Men Singles",men,singles,sr:category:3,ATP
sr:competition:2867,"ATP London, Great Britain Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2871,"ATP S-Hertogenbosch, Netherlands Men Singles",men,singles,sr:category:3,ATP
sr:competition:2873,"ATP S-Hertogenbosch, Netherlands Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2877,"WTA Eastbourne, Great Britain Women Singles",women,singles,sr:category:6,WTA
sr:competition:2879,"WTA Eastbourne, Great Britain Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2883,"ATP Newport, USA Men Singles",men,singles,sr:category:3,ATP
sr:competition:2885,"ATP Newport, USA Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2889,"ATP Bastad, Sweden Men Singles",men,singles,sr:category:3,ATP
sr:competition:2891,"ATP Bastad, Sweden Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2895,"WTA Budapest, Hungary Women Singles",women,singles,sr:category:6,WTA
sr:competition:2897,"WTA Budapest, Hungary Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2901,"WTA Palermo, Italy Women Singles",women,singles,sr:category:6,WTA
sr:competition:2903,"WTA Palermo, Italy Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2907,"WTA Prague, Czech Republic Women Singles",women,singles,sr:category:6,WTA
sr:competition:2909,"WTA Prague, Czech Republic Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2913,"Portoroz, Slovenia Women Singles",women,singles,sr:category:6,WTA
sr:competition:2915,"Portoroz, Slovenia Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2935,"ATP Hamburg, Germany Men Singles",men,singles,sr:category:3,ATP
sr:competition:2937,"ATP Hamburg, Germany Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2941,"WTA San Jose, USA Women Singles",women,singles,sr:category:6,WTA
sr:competition:2943,"WTA San Jose, USA Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2947,"WTA Istanbul, Turkey Women Singles",women,singles,sr:category:6,WTA
sr:competition:2949,"WTA Istanbul, Turkey Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2959,"ATP Gstaad, Switzerland Men Singles",men,singles,sr:category:3,ATP
sr:competition:2961,"ATP Gstaad, Switzerland Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2965,"ATP Umag, Croatia Men Singles",men,singles,sr:category:3,ATP
sr:competition:2967,"ATP Umag, Croatia Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2971,"ATP Washington, USA Men Singles",men,singles,sr:category:3,ATP
sr:competition:2973,"ATP Washington, USA Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2977,"WTA Montreal, Canada Women Singles",women,singles,sr:category:6,WTA
sr:competition:2979,"WTA Montreal, Canada Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2983,"ATP Cincinnati, USA Men Singles",men,singles,sr:category:3,ATP
sr:competition:2985,"ATP Cincinnati, USA Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2989,"WTA New Haven, USA Women Singles",women,singles,sr:category:6,WTA
sr:competition:2991,"WTA New Haven, USA Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2995,"ATP Toronto, Canada Men Singles",men,singles,sr:category:3,ATP
sr:competition:2997,"ATP Toronto, Canada Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3001,"ATP Metz, France Men Singles",men,singles,sr:category:3,ATP
sr:competition:3003,"ATP Metz, France Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3007,"ATP Bucharest, Romania Men Singles",men,singles,sr:category:3,ATP
sr:competition:3009,"ATP Bucharest, Romania Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3013,"WTA Guangzhou, China Women Singles",women,singles,sr:category:6,WTA
sr:competition:3015,"WTA Guangzhou, China Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:3025,"ATP Beijing, China Men Singles",men,singles,sr:category:3,ATP
sr:competition:3027,"ATP Beijing, China Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3031,"ATP Tokyo, Japan Men Singles",men,singles,sr:category:3,ATP
sr:competition:3033,"ATP Tokyo, Japan Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3037,"WTA Quebec City, Canada Women Singles",women,singles,sr:category:6,WTA
sr:competition:3039,"WTA Quebec City, Canada Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:3043,"WTA Seoul, Korea Republic Women Singles",women,singles,sr:category:6,WTA
sr:competition:3045,"WTA Seoul, Korea Republic Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:3049,"WTA Tashkent, Uzbekistan Women Singles",women,singles,sr:category:6,WTA
sr:competition:3051,"WTA Tashkent, Uzbekistan Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:3055,"WTA Linz, Austria Women Singles",women,singles,sr:category:6,WTA
sr:competition:3057,"WTA Linz, Austria Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:3061,"WTA Osaka, Japan Women Singles",women,singles,sr:category:6,WTA
sr:competition:3063,"WTA Osaka, Japan Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:3067,"ATP Moscow, Russia Men Singles",men,singles,sr:category:3,ATP
sr:competition:3069,"ATP Moscow, Russia Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3073,"WTA Luxembourg, Luxembourg Women Singles",women,singles,sr:category:6,WTA
sr:competition:3075,"WTA Luxembourg, Luxembourg Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:3085,"ATP Shanghai, China Men Singles",men,singles,sr:category:3,ATP
sr:competition:3087,"ATP Shanghai, China Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3091,"ATP Stockholm, Sweden Men Singles",men,singles,sr:category:3,ATP
sr:competition:3093,"ATP Stockholm, Sweden Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3097,"ATP Lyon, France Men Singles",men,singles,sr:category:3,ATP
sr:competition:3099,"ATP Lyon, France Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3103,"ATP Vienna, Austria Men Singles",men,singles,sr:category:3,ATP
sr:competition:3105,"ATP Vienna, Austria Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3109,"ATP St. Petersburg, Russia Men Singles",men,singles,sr:category:3,ATP
sr:competition:3111,"ATP St. Petersburg, Russia Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3121,"ATP Monte Carlo, Monaco Men Singles",men,singles,sr:category:3,ATP
sr:competition:3123,"ATP Monte Carlo, Monaco Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3145,"WTA Antwerp, Belgium Women Singles",women,singles,sr:category:6,WTA
sr:competition:3147,"WTA Antwerp, Belgium Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:3151,"ATP Kitzbuhel, Austria Men Singles",men,singles,sr:category:3,ATP
sr:competition:3153,"ATP Kitzbuhel, Austria Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3163,"San Diego, USA Women Singles",women,singles,sr:category:6,WTA
sr:competition:3165,"San Diego, USA Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:3181,"ATP Nottingham, Great Britain Men Singles",men,singles,sr:category:3,ATP
sr:competition:3183,"ATP Nottingham, Great Britain Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3215,"ATP Challenger Charlottesville, USA Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3217,"ATP Challenger Charlottesville, USA Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3221,"ATP Challenger Noumea, New Caledonia Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3223,"ATP Challenger Noumea, New Caledonia Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3227,"ATP Challenger Sao Paulo, Brazil Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3229,"ATP Challenger Sao Paulo, Brazil Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3233,"ATP Challenger Salinas, Ecuador Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3235,"ATP Challenger Salinas, Ecuador Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3239,"ATP Santiago, Chile Men Singles",men,singles,sr:category:3,ATP
sr:competition:3241,"ATP Santiago, Chile Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3245,"ATP Atlanta, USA Men Singles",men,singles,sr:category:3,ATP
sr:competition:3247,"ATP Atlanta, USA Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3251,"ATP Belgrade, Serbia Men Singles",men,singles,sr:category:3,ATP
sr:competition:3253,"ATP Belgrade, Serbia Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3257,"ATP Kuala Lumpur, Malaysia Men Singles",men,singles,sr:category:3,ATP
sr:competition:3259,"ATP Kuala Lumpur, Malaysia Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3263,"ATP Nice, France Men Singles",men,singles,sr:category:3,ATP
sr:competition:3265,"ATP Nice, France Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:3281,"ATP Challenger Barletta, Italy Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3283,"ATP Challenger Barletta, Italy Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3287,"ATP Challenger Bergamo, Italy Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3289,"ATP Challenger Bergamo, Italy Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3293,"ATP Challenger Floridablanca-Bucaramanga, Colombia Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3295,"ATP Challenger Floridablanca-Bucaramanga, Colombia Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3299,"ATP Challenger Heilbronn, Germany Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3301,"ATP Challenger Heilbronn, Germany Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3311,"ATP Challenger Burnie, Australia Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3313,"ATP Challenger Burnie, Australia Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3321,"ATP Challenger Caltanissetta, Italy Men Singles",men,singles,sr:category:72,Challenger
